phase,start,end,d1_candles,h2_bars
distribution,2022-06-01 00:00:00,2022-06-14 00:00:00,14,157
bear,2022-06-14 00:00:00,2022-06-14 02:00:00,1,2
distribution,2022-06-14 02:00:00,2022-06-15 06:00:00,2,15
bear,2022-06-15 06:00:00,2022-06-15 10:00:00,1,3
distribution,2022-06-15 10:00:00,2022-06-16 18:00:00,2,17
bear,2022-06-16 18:00:00,2022-06-17 06:00:00,2,7
distribution,2022-06-17 06:00:00,2022-06-17 12:00:00,1,4
bear,2022-06-17 12:00:00,2022-06-21 06:00:00,5,46
distribution,2022-06-21 06:00:00,2022-06-21 18:00:00,1,7
bear,2022-06-21 18:00:00,2022-06-21 20:00:00,1,2
distribution,2022-06-21 20:00:00,2022-06-21 22:00:00,1,2
bear,2022-06-21 22:00:00,2022-06-23 18:00:00,3,23
distribution,2022-06-23 18:00:00,2022-06-23 20:00:00,1,2
bear,2022-06-23 20:00:00,2022-06-23 22:00:00,1,2
distribution,2022-06-23 22:00:00,2022-06-24 08:00:00,2,6
bear,2022-06-24 08:00:00,2022-06-24 10:00:00,1,2
distribution,2022-06-24 10:00:00,2022-06-24 14:00:00,1,3
bear,2022-06-24 14:00:00,2022-06-24 16:00:00,1,2
distribution,2022-06-24 16:00:00,2022-06-27 14:00:00,4,36
bear,2022-06-27 14:00:00,2022-06-28 08:00:00,2,10
distribution,2022-06-28 08:00:00,2022-06-28 14:00:00,1,4
bear,2022-06-28 14:00:00,2022-06-30 22:00:00,3,29
