phase,start,end,d1_candles,h2_bars
distribution,2013-03-01 00:00:00,2013-03-05 14:00:00,5,56
accumulation,2013-03-05 14:00:00,2013-03-06 22:00:00,2,17
distribution,2013-03-06 22:00:00,2013-03-07 14:00:00,2,9
expansion,2013-03-07 14:00:00,2013-03-07 16:00:00,1,2
distribution,2013-03-07 16:00:00,2013-03-08 16:00:00,2,13
expansion,2013-03-08 16:00:00,2013-03-08 18:00:00,1,2
distribution,2013-03-08 18:00:00,2013-03-09 22:00:00,2,15
accumulation,2013-03-09 22:00:00,2013-03-10 22:00:00,2,13
distribution,2013-03-10 22:00:00,2013-03-19 20:00:00,10,108
accumulation,2013-03-19 20:00:00,2013-03-23 04:00:00,5,41
distribution,2013-03-23 04:00:00,2013-03-24 20:00:00,2,21
expansion,2013-03-24 20:00:00,2013-03-25 22:00:00,2,14
accumulation,2013-03-25 22:00:00,2013-03-28 20:00:00,4,36
distribution,2013-03-28 20:00:00,2013-03-28 22:00:00,1,2
expansion,2013-03-28 22:00:00,2013-03-31 08:00:00,4,30
accumulation,2013-03-31 08:00:00,2013-03-31 22:00:00,1,8
