phase,start,end,d1_candles,h2_bars
accumulation,2013-12-01 00:00:00,2013-12-01 04:00:00,1,3
distribution,2013-12-01 04:00:00,2013-12-01 06:00:00,1,2
accumulation,2013-12-01 06:00:00,2013-12-01 10:00:00,1,3
distribution,2013-12-01 10:00:00,2013-12-07 00:00:00,7,68
bear,2013-12-07 00:00:00,2013-12-07 10:00:00,1,6
distribution,2013-12-07 10:00:00,2013-12-07 14:00:00,1,3
bear,2013-12-07 14:00:00,2013-12-08 08:00:00,2,10
distribution,2013-12-08 08:00:00,2013-12-08 12:00:00,1,3
bear,2013-12-08 12:00:00,2013-12-08 20:00:00,1,5
distribution,2013-12-08 20:00:00,2013-12-16 16:00:00,9,95
bear,2013-12-16 16:00:00,2013-12-26 04:00:00,11,115
distribution,2013-12-26 04:00:00,2013-12-31 22:00:00,6,70
