phase,start,end,d1_candles,h2_bars
distribution,2015-01-01 00:00:00,2015-01-13 10:00:00,13,150
bear,2015-01-13 10:00:00,2015-01-13 12:00:00,1,2
distribution,2015-01-13 12:00:00,2015-01-13 16:00:00,1,3
bear,2015-01-13 16:00:00,2015-01-13 18:00:00,1,2
distribution,2015-01-13 18:00:00,2015-01-13 22:00:00,1,3
bear,2015-01-13 22:00:00,2015-01-15 12:00:00,3,20
distribution,2015-01-15 12:00:00,2015-01-15 14:00:00,1,2
bear,2015-01-15 14:00:00,2015-01-16 02:00:00,2,7
distribution,2015-01-16 02:00:00,2015-01-16 04:00:00,1,2
bear,2015-01-16 04:00:00,2015-01-21 20:00:00,6,69
distribution,2015-01-21 20:00:00,2015-01-26 06:00:00,6,54
accumulation,2015-01-26 06:00:00,2015-01-26 14:00:00,1,5
distribution,2015-01-26 14:00:00,2015-01-31 22:00:00,6,65
