phase,start,end,d1_candles,h2_bars
accumulation,2013-04-01 00:00:00,2013-04-03 06:00:00,3,28
expansion,2013-04-03 06:00:00,2013-04-04 02:00:00,2,11
distribution,2013-04-04 02:00:00,2013-04-04 04:00:00,1,2
expansion,2013-04-04 04:00:00,2013-04-05 22:00:00,2,22
accumulation,2013-04-05 22:00:00,2013-04-10 04:00:00,6,52
expansion,2013-04-10 04:00:00,2013-04-10 16:00:00,1,7
euphoria,2013-04-10 16:00:00,2013-04-10 18:00:00,1,2
distribution,2013-04-10 18:00:00,2013-04-11 16:00:00,2,12
bear,2013-04-11 16:00:00,2013-04-19 08:00:00,9,93
distribution,2013-04-19 08:00:00,2013-04-30 22:00:00,12,140
