phase,start,end,d1_candles,h2_bars
bear,2014-04-01 00:00:00,2014-04-01 02:00:00,1,2
distribution,2014-04-01 02:00:00,2014-04-01 04:00:00,1,2
bear,2014-04-01 04:00:00,2014-04-01 06:00:00,1,2
distribution,2014-04-01 06:00:00,2014-04-02 14:00:00,2,17
bear,2014-04-02 14:00:00,2014-04-03 22:00:00,2,17
distribution,2014-04-03 22:00:00,2014-04-04 02:00:00,2,3
bear,2014-04-04 02:00:00,2014-04-04 06:00:00,1,3
distribution,2014-04-04 06:00:00,2014-04-10 04:00:00,7,72
bear,2014-04-10 04:00:00,2014-04-11 10:00:00,2,16
distribution,2014-04-11 10:00:00,2014-04-11 14:00:00,1,3
bear,2014-04-11 14:00:00,2014-04-11 16:00:00,1,2
distribution,2014-04-11 16:00:00,2014-04-11 20:00:00,1,3
bear,2014-04-11 20:00:00,2014-04-11 22:00:00,1,2
distribution,2014-04-11 22:00:00,2014-04-12 12:00:00,2,8
bear,2014-04-12 12:00:00,2014-04-12 14:00:00,1,2
distribution,2014-04-12 14:00:00,2014-04-13 12:00:00,2,12
bear,2014-04-13 12:00:00,2014-04-13 22:00:00,1,6
distribution,2014-04-13 22:00:00,2014-04-14 00:00:00,2,2
bear,2014-04-14 00:00:00,2014-04-14 04:00:00,1,3
distribution,2014-04-14 04:00:00,2014-04-30 22:00:00,17,202
